timestamp,platform_a,error_x,platform_c,platform_b,error_y,platform_y,platform_x,error_delta_x,error_delta_y,mode,error_sum_y,error_sum_x,active,ball_x,ball_y,target_y,target_x
0,0,-16,0,0,-24,0,0,-16,-24,72,0,0,1,2896,3032,3008,2880
8,0,-18,0,0,-25,0,0,-18,-25,72,0,0,1,2898,3033,3008,2880
18,0,-18,0,0,-25,0,0,-18,-25,72,0,0,1,2898,3033,3008,2880
30,0,-26,0,0,-25,0,0,-26,-25,72,0,0,1,2906,3033,3008,2880
42,0,-26,0,0,-25,0,0,-26,-25,72,0,0,1,2906,3033,3008,2880
51,0,-29,0,0,-27,0,0,-13,-3,72,-27,0,1,2909,3035,3008,2880
60,0,-29,0,0,-27,0,0,-11,-2,72,-54,0,1,2909,3035,3008,2880
67,0,-31,0,0,-27,0,0,-13,-2,72,-81,0,1,2911,3035,3008,2880
78,0,-34,0,0,-29,0,0,-8,-4,72,-110,0,1,2914,3037,3008,2880
90,0,-36,0,0,-30,0,0,-10,-5,72,-110,0,1,2916,3038,3008,2880
102,0,-38,0,0,-30,0,0,-9,-3,72,-140,0,1,2918,3038,3008,2880
111,0,-40,0,0,-31,0,0,-11,-4,72,-171,0,1,2920,3039,3008,2880
119,0,-46,0,0,-32,0,0,-15,-5,72,-171,0,1,2926,3040,3008,2880
127,0,-46,0,0,-32,0,0,-12,-3,72,-203,0,1,2926,3040,3008,2880
138,0,-50,0,0,-33,0,0,-14,-3,72,-236,0,1,2930,3041,3008,2880
150,0,-53,0,0,-33,0,0,-15,-3,72,-269,0,1,2933,3041,3008,2880
162,0,-56,0,0,-33,0,0,-16,-2,72,-302,0,1,2936,3041,3008,2880
171,0,-58,0,0,-32,0,0,-12,0,72,-334,0,1,2938,3040,3008,2880
179,0,-60,0,0,-33,0,0,-14,-1,72,-367,0,1,2940,3041,3008,2880
187,0,-63,0,0,-32,0,0,-13,1,72,-399,0,1,2943,3040,3008,2880
198,0,-66,0,0,-33,0,0,-13,0,72,-432,0,1,2946,3041,3008,2880
210,0,-68,0,0,-34,0,0,-12,-1,72,-466,0,1,2948,3042,3008,2880
222,0,-68,0,0,-34,0,0,-10,-2,72,-500,0,1,2948,3042,3008,2880
231,0,-73,0,0,-35,0,0,-13,-2,72,-535,0,1,2953,3043,3008,2880
239,0,-73,0,0,-35,0,0,-10,-3,72,-570,0,1,2953,3043,3008,2880
247,0,-76,0,0,-35,0,0,-10,-2,72,-605,0,1,2956,3043,3008,2880
258,0,-78,0,0,-36,0,0,-10,-2,72,-641,0,1,2958,3044,3008,2880
270,0,-80,0,0,-36,0,0,-12,-2,72,-677,0,1,2960,3044,3008,2880
282,-40,-85,-15,54,-36,-40,-40,-12,-1,72,-713,0,1,2965,3044,3008,2880
291,-80,-85,-30,109,-36,-80,-80,-12,-1,72,-749,0,1,2965,3044,3008,2880
299,-100,-89,-124,223,-37,-100,-200,-13,-2,72,-786,0,1,2969,3045,3008,2880
307,-160,-92,-267,426,-37,-160,-400,-14,-1,72,-823,0,1,2972,3045,3008,2880
318,-180,-94,-508,687,-37,-180,-690,-14,-1,72,-860,0,1,2974,3045,3008,2880
330,-180,-96,-865,1044,-38,-180,-1102,-11,-2,72,-898,0,1,2976,3046,3008,2880
342,-140,-96,-1094,1233,-38,-140,-1344,-11,-2,72,-936,0,1,2976,3046,3008,2880
351,-80,-102,-1355,1434,-38,-80,-1610,-13,-1,72,-974,0,1,2982,3046,3008,2880
359,-40,-104,-1626,1665,-39,-40,-1900,-12,-2,72,-1013,0,1,2984,3047,3008,2880
367,-40,-106,-1816,1855,-39,-40,-2120,-12,-2,72,-1052,0,1,2986,3047,3008,2880
378,-40,-111,-2017,2056,-40,-40,-2352,-15,-2,72,-1092,0,1,2991,3048,3008,2880
390,-20,-115,-2239,2258,-42,-20,-2596,-19,-4,72,-1134,0,1,2995,3050,3008,2880
402,-20,-117,-2514,2533,-42,-20,-2914,-15,-4,72,-1176,0,1,2997,3050,3008,2880
411,-20,-122,-2651,2670,-44,-20,-3072,-18,-5,72,-1176,0,1,3002,3052,3008,2880
419,-40,-127,-2739,2778,-44,-40,-3185,-21,-5,72,-1176,0,1,3007,3052,3008,2880
427,-40,-129,-2838,2877,-44,-40,-3300,-18,-4,72,-1220,0,1,3009,3052,3008,2880
438,-40,-134,-2739,2778,-44,-40,-3185,-19,-2,72,-1264,0,1,3014,3052,3008,2880
450,-60,-139,-2631,2690,-43,-60,-3072,-22,-1,72,-1307,0,1,3019,3051,3008,2880
462,-80,-142,-2299,2378,-43,-80,-2700,-20,1,72,-1350,0,1,3022,3051,3008,2880
471,-120,-147,-1776,1895,-42,-120,-2120,-20,2,72,-1392,0,1,3027,3050,3008,2880
479,-160,-149,-1245,1404,-42,-160,-1530,-20,2,72,-1434,0,1,3029,3050,3008,2880
487,-200,-152,-855,1054,-43,-200,-1102,-18,1,72,-1477,0,1,3032,3051,3008,2880
498,-200,-157,-545,744,-43,-200,-744,-18,0,72,-1520,0,1,3037,3051,3008,2880
510,-200,-157,-453,652,-43,-200,-638,-15,0,72,-1563,0,1,3037,3051,3008,2880
522,-200,-159,-392,591,-44,-200,-567,-12,-2,72,-1607,0,1,3039,3052,3008,2880
530,-160,-162,-284,443,-44,-160,-420,-13,-2,72,-1651,0,1,3042,3052,3008,2880
538,-100,-162,-245,344,-44,-100,-340,-10,-1,72,-1695,0,1,3042,3052,3008,2880
546,-60,-162,-161,220,-44,-60,-220,-5,-1,72,-1739,0,1,3042,3052,3008,2880
558,20,-160,7,-28,-42,20,20,-3,1,72,-1781,-160,1,3040,3050,3008,2880
570,0,-160,17,-18,-42,0,20,-1,2,72,-1823,-320,1,3040,3050,3008,2880
582,0,-157,17,-18,-41,0,20,5,3,72,-1864,-320,1,3037,3049,3008,2880
590,0,-152,17,-18,-39,0,20,10,5,72,-1864,-320,1,3032,3047,3008,2880
598,0,-149,17,-18,-39,0,20,13,5,72,-1864,-320,1,3029,3047,3008,2880
606,0,-144,17,-18,-38,0,20,16,4,72,-1902,-320,1,3024,3046,3008,2880
618,0,-139,17,-18,-38,0,20,21,4,72,-1940,-320,1,3019,3046,3008,2880
630,0,-133,17,-18,-37,0,20,24,4,72,-1977,-320,1,3013,3045,3008,2880
642,0,-131,17,-18,-37,0,20,21,2,72,-2014,-320,1,3011,3045,3008,2880
650,0,-125,17,-18,-37,0,20,24,2,72,-2051,-320,1,3005,3045,3008,2880
658,0,-117,17,-18,-35,0,20,27,3,72,-2086,-320,1,2997,3043,3008,2880
666,0,-113,17,-18,-35,0,20,26,3,72,-2121,-320,1,2993,3043,3008,2880
678,0,-108,17,-18,-34,0,20,25,3,72,-2155,-320,1,2988,3042,3008,2880
690,0,-99,17,-18,-32,0,20,32,5,72,-2155,-320,1,2979,3040,3008,2880
702,0,-92,17,-18,-31,0,20,33,6,72,-2155,-320,1,2972,3039,3008,2880
710,0,-88,17,-18,-30,0,20,29,5,72,-2155,-320,1,2968,3038,3008,2880
718,0,-82,34,-35,-29,0,40,31,6,72,-2155,-320,1,2962,3037,3008,2880
726,0,-79,86,-87,-29,0,100,29,5,72,-2155,-320,1,2959,3037,3008,2880
738,0,-75,121,-122,-29,0,140,24,3,72,-2184,-320,1,2955,3037,3008,2880
750,0,-60,190,-191,-26,0,220,32,5,72,-2184,-320,1,2940,3034,3008,2880
762,0,-60,329,-330,-26,0,380,28,4,72,-2210,-320,1,2940,3034,3008,2880
770,0,-56,450,-451,-25,0,520,26,4,72,-2235,-320,1,2936,3033,3008,2880
778,0,-42,692,-693,-22,0,800,37,7,72,-2235,-320,1,2922,3030,3008,2880
786,0,-39,897,-898,-21,0,1036,36,8,72,-2235,-320,1,2919,3029,3008,2880
798,0,-37,1073,-1074,-20,0,1240,23,6,72,-2235,-320,1,2917,3028,3008,2880
810,0,-33,1228,-1229,-20,0,1419,27,6,72,-2235,-320,1,2913,3028,3008,2880
822,20,-20,1384,-1405,-17,20,1610,36,8,72,-2235,-320,1,2900,3025,3008,2880
830,40,-20,1476,-1517,-17,40,1728,22,5,72,-2235,-320,1,2900,3025,3008,2880
838,80,-16,1456,-1537,-16,80,1728,23,5,72,-2235,-320,1,2896,3024,3008,2880
846,120,-5,1405,-1526,-14,120,1692,32,6,72,-2235,-320,1,2885,3022,3008,2880
858,120,-3,1264,-1385,-14,120,1530,30,6,72,-2235,-320,1,2883,3022,3008,2880
870,140,5,1003,-1144,-12,140,1240,25,5,72,-2235,-320,1,2875,3020,3008,2880
882,160,8,874,-1035,-10,160,1102,28,7,72,-2235,-320,1,2872,3018,3008,2880
890,160,13,817,-978,-9,160,1036,29,7,72,-2235,-320,1,2867,3017,3008,2880
898,160,22,738,-899,-7,160,945,27,7,72,-2235,-320,1,2858,3015,3008,2880
906,160,28,564,-725,-5,160,744,31,9,72,-2235,-320,1,2852,3013,3008,2880
918,160,34,453,-614,-3,160,616,29,9,72,-2235,-320,1,2846,3011,3008,2880
930,160,40,353,-514,-2,160,500,32,8,72,-2235,-320,1,2840,3010,3008,2880
942,160,42,301,-462,-1,160,440,29,8,72,-2235,-320,1,2838,3009,3008,2880
950,160,47,283,-444,0,160,420,25,7,72,-2235,-320,1,2833,3008,3008,2880
958,160,50,249,-410,1,160,380,22,6,72,-2235,-320,1,2830,3007,3008,2880
966,140,50,224,-365,1,140,340,16,4,72,-2234,-320,1,2830,3007,3008,2880
978,140,54,189,-330,3,140,300,14,5,72,-2234,-320,1,2826,3005,3008,2880
990,140,54,155,-296,3,140,260,12,4,72,-2231,-320,1,2826,3005,3008,2880
1002,140,54,85,-226,3,140,180,7,3,72,-2228,-320,1,2826,3005,3008,2880
1010,140,66,68,-209,14,140,160,16,13,72,-2228,-320,1,2814,2994,3008,2880
1018,20,64,24,-45,10,20,40,14,9,72,-2228,-320,1,2816,2998,3008,2880
1026,20,64,7,-28,10,20,20,10,7,72,-2228,-320,1,2816,2998,3008,2880
1038,20,74,7,-28,19,20,20,20,16,72,-2228,-320,1,2806,2989,3008,2880
1050,20,72,7,-28,15,20,20,18,12,72,-2228,-320,1,2808,2993,3008,2880
1062,20,72,7,-28,18,20,20,6,4,72,-2210,-320,1,2808,2990,3008,2880
1070,20,72,7,-28,18,20,20,8,8,72,-2210,-320,1,2808,2990,3008,2880
1078,20,72,24,-45,18,20,40,8,8,72,-2210,-320,1,2808,2990,3008,2880
1086,40,72,49,-90,23,40,80,-2,4,72,-2187,-248,1,2808,2985,3008,2880
1098,60,72,73,-134,23,60,120,0,8,72,-2187,-176,1,2808,2985,3008,2880
1110,80,73,115,-196,26,80,180,1,8,72,-2187,-103,1,2807,2982,3008,2880
1121,100,73,244,-345,28,100,340,1,10,72,-2187,-30,1,2807,2980,3008,2880
1129,100,73,348,-449,28,100,460,1,10,72,-2187,43,1,2807,2980,3008,2880
