timestamp,platform_a,error_x,platform_c,platform_b,error_y,platform_y,platform_x,error_delta_x,error_delta_y,mode,error_sum_y,error_sum_x,active,ball_x,ball_y,target_y,target_x
0,0,-20,0,0,-1,0,0,-20,-1,72,-1,0,1,1316,3009,3008,1296
393,0,-20,0,0,-1,0,0,-20,-1,72,-2,0,1,1316,3009,3008,1296
401,0,-20,0,0,-1,0,0,-20,-1,72,-3,0,1,1316,3009,3008,1296
410,0,-20,0,0,1,0,0,-20,1,72,-2,0,1,1316,3007,3008,1296
422,0,-20,0,0,1,0,0,-20,1,72,-1,0,1,1316,3007,3008,1296
433,0,-22,0,0,0,0,0,-2,1,72,-1,-22,1,1318,3008,3008,1296
445,0,-22,0,0,0,0,0,-2,1,72,-1,-44,1,1318,3008,3008,1296
453,0,-22,0,0,0,0,0,-2,1,72,-1,-66,1,1318,3008,3008,1296
461,0,-27,0,0,1,0,0,-7,0,72,0,-66,1,1323,3007,3008,1296
470,0,-27,0,0,1,0,0,-7,0,72,1,-66,1,1323,3007,3008,1296
481,0,-27,0,0,1,0,0,-5,1,72,2,-66,1,1323,3007,3008,1296
493,0,-29,0,0,3,0,0,-7,3,72,5,-66,1,1325,3005,3008,1296
505,0,-31,0,0,4,0,0,-9,4,72,9,-66,1,1327,3004,3008,1296
513,0,-31,0,0,4,0,0,-4,3,72,13,-97,1,1327,3004,3008,1296
521,0,-31,0,0,4,0,0,-4,3,72,17,-128,1,1327,3004,3008,1296
530,0,-36,0,0,5,0,0,-9,4,72,22,-128,1,1332,3003,3008,1296
541,0,-36,0,0,5,0,0,-7,2,72,27,-128,1,1332,3003,3008,1296
553,0,-36,0,0,5,0,0,-5,1,72,32,-128,1,1332,3003,3008,1296
565,0,-38,0,0,6,0,0,-7,2,72,38,-128,1,1334,3002,3008,1296
573,0,-38,0,0,6,0,0,-7,2,72,44,-128,1,1334,3002,3008,1296
581,0,-38,0,0,6,0,0,-2,1,72,50,-166,1,1334,3002,3008,1296
590,0,-38,0,0,6,0,0,-2,1,72,56,-204,1,1334,3002,3008,1296
602,0,-40,0,0,9,0,0,-4,4,72,65,-244,1,1336,2999,3008,1296
